time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1738122300,180,180,171,171.85,,,0,0,0,,,,,,0,0,0,0,,,,24895079,
1738208700,168,175.8,163.25,163.25,,,0,0,0,,,,,,0,0,0,0,,,,22757539,
1738295100,155.1,167.9,155.1,162.95,,,0,0,0,,,,,,0,0,0,0,,,,22054615,
1738381500,163.85,171.09,162.95,170.75,,,0,0,0,,,,,,0,0,0,0,,,,6695119,
1738554300,169.35,179.28,167,171.4,,,0,0,0,,,,,,0,0,0,0,,,,17569178,
1738640700,172,174,162.83,163.74,,,0,0,0,,,,,,0,0,0,0,,,,43760198,
1738727100,161.55,170.3,161.55,168.52,,,0,0,0,,,,,,0,0,0,0,,,,18221463,
1738813500,170,174,168.52,172.11,,,0,0,0,,,,,,0,0,0,0,,,,7401574,
1738899900,172.88,178.99,168,172.65,168.58,,0,0,0,,,,,,0,0,0,0,,,,49505080,
1739159100,175.2,179.99,173.5,179.28,170.72,,0,0,0,,,,,,0,0,0,0,,,,8673303,
1739245500,179.95,179.95,166.59,170.62,170.7,,0,0,0,,,,,,0,0,0,0,,,,13950854,
1739331900,170,176,165.85,174.66,171.492,,0,0,0,,,,,,0,0,0,0,,,,16845299,
1739418300,174.5,174.66,169,169.86,171.16559999999998,,0,0,0,,,,,,0,0,0,0,,,,10164200,
1739504700,170.7,171.75,160.35,164.67,169.86648,,0,0,0,,,,,,0,0,0,0,,,,13949059,
1739763900,164.67,170.5,162.72,168.64,169.621184,,0,0,0,,,,,,0,0,0,0,,,,8544174,
1739850300,169.8,169.8,165.25,166.17,168.9309472,,0,0,0,,,,,,0,0,0,0,,,,6217106,
1739936700,166,168.45,163.17,164.61,168.06675776,,0,0,0,,,,,,0,0,0,0,,,,12488407,
1740023100,164.61,168.5,162.7,165.24,167.501406208,,0,0,0,,,,,,0,0,0,0,,,,11833022,
1740109500,166,166.9,161.43,162.71,166.5431249664,,0,0,0,,,,,,0,0,0,0,,,,8608818,
1740368700,162.4,162.4,158.56,160.44,165.32249997312,,0,0,0,,,,,,0,0,0,0,,,,7073132,16560360.95
1740455100,160.65,165.6,158.35,161.33,164.523999978496,167.87857142857143,0,0,0,,,,,,0,0,0,0,,,,8816538,15756433.9
1740627900,163.5,165.49,160.88,161.94,164.0071999827968,167.3387012987013,0,0,0,,,,,,0,0,0,0,,,,10889252,15163019.55
1740714300,160.99,165.95,159.08,163.81,163.96775998623744,167.01791027154664,0,0,0,,,,,,0,0,0,0,,,,10337062,14577141.9
1740973500,164.7,165,159.05,161.5,163.47420798898995,166.5162820650424,0,0,0,,,,,,0,0,0,0,,,,4534822,14469127.05
1741059900,160.59,163.45,159.06,162.93,163.36536639119197,166.1902564227658,0,0,0,,,,,,0,0,0,0,,,,3827244,13782030.35
1741146300,163.1,176,162.26,173.77,165.44629311295358,166.87932402069617,0,0,0,,,,,,0,0,0,0,,,,9341395,12061090.2
1741232700,175.5,178,171.12,174.2,167.19703449036285,167.5448400188147,0,0,0,,,,,,0,0,0,0,,,,11691377,11734585.9
1741319100,174.8,175.67,171.9,173.2,168.3976275922903,168.05894547164974,0,0,0,,,,,,0,0,0,0,,,,4751880,11602101.2
1741578300,174.7,175.57,168.5,169.38,168.59410207383223,168.1790413378634,0,0,0,,,,,,0,0,0,0,,,,5750516,9414373
1741664700,168.2,170.1,167.01,168.41,168.55728165906578,168.2000375798758,0,0,0,,,,,,0,0,0,0,,,,3628422,9162128.95
1741751100,169.69,170.59,168.3,169.27,168.69982532725263,168.2973068907962,0,0,0,,,,,,0,0,0,0,,,,3271247,8628148.6
1741837500,170,171.57,165.82,166.73,168.3058602618021,168.15482444617837,0,0,0,,,,,,0,0,0,0,,,,5587313,8065249.3
