time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1777359600,55640.5,55646.25,55619.6,55645,55678.50151733125,55767.30470125034,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2032440,2527170.4
1777359900,55655.9,55686.65,55650.75,55663.15,55675.431213865,55757.83609204576,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2460501,2551551.55
1777360200,55665.05,55705.55,55661.95,55703.35,55681.014971092,55752.882810950694,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2203014,2573165.55
1777360500,55704.85,55727.8,55674.85,55694.05,55683.621976873605,55747.53437359154,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2531459,2569221.25
1777360800,55694,55705.05,55650.8,55653.65,55677.627581498884,55738.99943053776,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2371806,2613918.5
1777361100,55655.6,55674.75,55600.25,55605.4,55663.18206519911,55726.854027761605,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2232207,2636743.25
1777361400,55605.75,55655.85,55589.6,55628.05,55656.15565215929,55717.87184341964,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,3089103,2693066.35
1777361700,55627.9,55659.35,55616.5,55655,55655.92452172743,55712.156221290585,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2336884,2618787.7
1777362000,55654.7,55659.55,55608.65,55610.2,55646.779617381944,55702.88747390053,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,1983305,2548796.4
1777362300,55609.45,55681.4,55609.45,55663.55,55650.133693905555,55699.311339909575,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2363184,2551226.2
1777362600,55668.85,55688.8,55638.2,55687.25,55657.55695512444,55698.21485446325,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2070131,2546208.2
1777362900,55686.1,55696.25,55609.25,55610.4,55648.12556409955,55690.23168587568,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,4224072,2641833.5
1777363200,55612.1,55618.45,55544.8,55553.9,55629.28045127964,55677.83789625062,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,2,1,,,,2290982,2665676.55
1777363500,55554.5,55561.8,55490.65,55547.25,55612.874361023714,55665.96626931874,0,1,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,1,,3420200,2682950.35
1777363800,55550.7,55598.3,55544.4,55570.25,55604.349488818974,55657.264790289766,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2457230,2638532.75
1777364100,55569.3,55572.2,55536.5,55537.6,55590.99959105518,55646.38617299069,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2431562,2615764.75
1777364400,55536.4,55606,55529.35,55596.95,55592.18967284414,55641.89197544609,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,1747555,2552302.7
1777364700,55598.2,55640.7,55538.35,55559.85,55585.721738275315,55634.4336140419,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2301746,2509313.55
1777365000,55561.85,55565.35,55530.55,55534.2,55575.41739062025,55625.321467310816,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2464607,2511179.3
1777365300,55536.15,55539.8,55503.15,55533.8,55567.0939124962,55617.001333918925,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,3152465,2508222.65
1777365600,55533.3,55534.95,55478.9,55482.95,55550.26512999696,55604.8148490172,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2957515,2554476.4
1777365900,55486.6,55515.9,55451.6,55505.05,55541.22210399757,55595.74531728837,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,4202755,2641589.1
1777366200,55506.05,55536.9,55488.6,55515.65,55536.10768319805,55588.463924807606,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2445298,2653703.3
1777366500,55516.5,55533.4,55464.05,55471.65,55523.21614655844,55577.844477097824,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2936822,2673971.45
1777366800,55473.35,55587.65,55471.3,55528.35,55524.24291724675,55573.34497917984,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,4943078,2802535.05
1777367100,55526.4,55565.5,55518,55532.1,55525.8143337974,55569.59543561804,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,3748937,2878371.55
1777367400,55533.95,55569.8,55522.7,55564.15,55533.48146703792,55569.100396016394,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,3601399,2903986.35
1777367700,55563,55589.7,55547.4,55555.95,55537.97517363034,55567.90490546945,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,5358313,3055057.8
1777368000,55553.15,55574.85,55540.3,55570.6,55544.500138904266,55568.149914063135,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,2817928,3096788.95
1777368300,55571.25,55579.45,55535.1,55563.35,55548.27011112341,55567.713558239215,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,4556195,3206439.5
1777368600,55564.7,55565.4,55441.1,55481.85,55534.98608889873,55559.907780217465,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,9581256,3581995.75
1777368900,55475.85,55493.5,55390,55416.95,55511.378871118985,55546.91161837951,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,9645112,3853047.75
1777369200,55416.55,55420.35,55364.9,55385.6,55486.223096895184,55532.246925799554,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,1,,,,8068531,4141925.2
1777369500,55386.65,55386.7,55263.75,55294.5,55447.87847751615,55510.633568908685,1,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,1,,,10828279,4512329.15
1777369800,55295.9,55363.55,55280.65,55363.2,55430.94278201292,55497.23051718971,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,10718538,4925394.55
1777370100,55357.05,55450.35,55357.05,55415.35,55427.82422561033,55489.78683380883,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,9832948,5295463.85
1777434300,55645.25,55688.35,55378.85,55435.05,55429.269380488266,55484.810758008025,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,10017893,5708980.75
1777434600,55435.95,55535.8,55410.5,55419.9,55427.39550439061,55478.90978000729,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,5516778,5869732.35
1777434900,55426.3,55517.85,55418.7,55516.9,55445.29640351249,55482.363436370266,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2997887,5896396.35
1777435200,55518.45,55549.3,55423.65,55436.25,55443.487122809995,55478.17130579115,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3357548,5906650.5
1777435500,55434.05,55460.75,55332.2,55382.05,55431.199698248,55469.43300526468,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3748323,5946190.9
1777435800,55390,55545.9,55376.9,55540.8,55453.1197585984,55475.92091387698,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2515096,5861807.95
1777436100,55544.4,55643.9,55544.4,55623.75,55487.24580687872,55489.359921706346,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3993033,5939194.7
1777436400,55624,55627.15,55586.6,55615.45,55512.88664550297,55500.82265609668,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2306534,5907680.3
1777436700,55618.7,55656.7,55604.1,55642,55538.709316402375,55513.656960087894,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3632766,5842164.7
1777437000,55647.15,55746.55,55643.55,55719.15,55574.7974531219,55532.33814553445,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,7133023,6011369
1777437300,55721.75,55766.05,55719,55734.15,55606.66796249752,55550.68467775859,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,4169687,6039783.4
1777437600,55736.05,55819.3,55730.35,55812.6,55647.854369998015,55574.495161598716,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2458304,5894782.95
1777437900,55820.4,55877.4,55818.35,55835.35,55685.35349599841,55598.20923781701,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,4518541,5979813.6
1777438200,55837.65,55931.2,55829.2,55875.35,55723.352796798725,55623.40385256092,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,6459732,6074990.45
1777438500,55874.6,55928.5,55852.95,55904.15,55759.51223743898,55648.92622960084,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3865353,5789195.3
1777438800,55908.3,55909.9,55822.75,55854.55,55778.519789951184,55667.619299637125,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3153983,5464638.85
1777439100,55858.3,55884.8,55794.85,55813.75,55785.56583196095,55680.90390876102,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2269241,5174674.35
1777439400,55812.8,55841.9,55803.05,55814.4,55791.33266556876,55693.039917055474,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,1511702,4708845.5
1777439700,55816.5,55845.05,55795,55844.9,55802.04613245501,55706.84537914134,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,1898591,4267848.15
1777440000,55843.75,55901.1,55840.5,55896.4,55820.91690596401,55724.07761740122,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2345143,3893457.9
1777440300,55893.85,55916.6,55875.1,55887.75,55834.28352477121,55738.9569249102,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,7072462,3746186.35
1777440600,55883.45,55916.5,55775.4,55778.9,55823.206819816965,55742.588113554724,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3383143,3639504.6
1777440900,55778.6,55875.95,55772.2,55868.3,55832.22545585357,55754.01646686793,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2350094,3607114.95
1777441200,55868.7,55879.3,55839.6,55855.4,55836.860364682856,55763.233151698114,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,2339394,3556207.25
1777441500,55863.3,55887.5,55856.1,55873.95,55844.27829174628,55773.29831972556,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,5541400,3645861.1
1777441800,55876,55953,55870,55941.45,55863.71263339702,55788.58483611415,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,7672958,3903754.2
1777442100,55944.5,55993.55,55903,55910.8,55873.13010671762,55799.695305558314,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,10716160,4239910.55
1777442400,55915.35,55965.85,55908.85,55929.25,55884.35408537409,55811.47300505301,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,5274639,4388315.8
1777442700,55929.5,55933.1,55900.75,55900.75,55887.63326829927,55819.589095502735,0,0,0,57456.3,56491.9,55841.65,54356.2,51868.45,3,3,3,2,,,,3156053,4364480.15
