time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL
1745984700,1320.9,1362.7,1303.1,1329.3,1293.6517890763494,1250.766567146643,0,0,0
1746157500,1319.9,1382.5,1315,1341.5,1303.2214312610795,1259.0150610424027,0,0,0
1746416700,1359,1359,1318.1,1333.6,1309.2971450088635,1265.795510038548,0,0,0
1746503100,1325.1,1345.9,1288,1296,1306.6377160070908,1268.5413727623163,0,0,0
1746589500,1270,1306.9,1268.4,1302,1305.7101728056728,1271.5830661475602,0,0,0
1746675900,1305,1317.4,1270.3,1287.8,1302.1281382445381,1273.0573328614184,0,0,0
1746762300,1250,1271,1225,1234.3,1288.5625105956306,1269.533938964926,0,0,0
1747021500,1300,1311.8,1281.2,1305.4,1291.9300084765046,1272.7944899681145,0,0,0
1747107900,1305.9,1315.9,1262.4,1273.8,1288.3040067812037,1272.8858999710133,0,0,0
1747194300,1250,1328,1250,1316.5,1293.943205424963,1276.8508181554666,0,0,0
1747280700,1317.7,1378.8,1306,1371,1309.3545643399705,1285.409834686788,0,0,0
1747367100,1378,1411.8,1353.3,1394.8,1326.4436514719764,1295.3543951698073,0,0,0
1747626300,1394.8,1432,1379.3,1422,1345.554921177581,1306.867631972552,0,0,0
1747712700,1430,1434,1375,1380.2,1352.483936942065,1313.5342108841382,0,0,0
1747799100,1383.9,1424,1379.6,1409,1363.787149553652,1322.2129189855802,0,0,0
1747885500,1400,1420.8,1382,1409.7,1372.9697196429215,1330.1662899868911,0,0,0
1747971900,1408.4,1425,1405.1,1412.8,1380.9357757143373,1337.6784454426283,0,0,0
1748231100,1420,1469.9,1411.2,1439.1,1392.5686205714699,1346.8985867660258,0,0,0
1748317500,1442,1470,1423.5,1453.4,1404.7348964571759,1356.5805334236597,0,0,0
1748403900,1460,1483.5,1452.5,1467.8,1417.3479171657407,1366.6913940215088,0,0,0
1748490300,1474,1474,1432.1,1457,1425.2783337325925,1374.9012672922806,0,0,0
1748576700,1459.8,1462,1418.6,1425.5,1425.322666986074,1379.5011520838914,0,0,0
1748835900,1420,1445,1412.1,1433.9,1427.0381335888592,1384.4465018944468,0,0,0
1748922300,1459,1475,1438.5,1446.6,1430.9505068710873,1390.0968199040426,0,0,0
1749008700,1472.8,1472.8,1434.2,1444.8,1433.72040549687,1395.0698362764024,0,0,0
1749095100,1458.9,1479.9,1451,1461.7,1439.316324397496,1401.1271238876386,0,0,0
1749181500,1465,1529.9,1465,1516,1454.6530595179968,1411.570112625126,0,0,0
1749440700,1530,1531,1501,1511.7,1466.0624476143973,1420.6728296592055,0,0,0
1749527100,1515,1517.4,1462.1,1467.4,1466.329958091518,1424.9207542356414,0,0,0
1749613500,1467.4,1491,1461.1,1475.8,1468.2239664732144,1429.5461402142196,0,0,0
1749699900,1477.9,1477.9,1445.2,1449.1,1464.3991731785716,1431.3237638311086,0,0,0
1749786300,1433.2,1458,1420,1452.6,1462.0393385428572,1433.2579671191897,0,0,0
1750045500,1455.9,1474.8,1437,1470.6,1463.7514708342858,1436.6526973810817,0,0,0
1750131900,1475.7,1504,1443.1,1446,1460.2011766674286,1437.5024521646196,0,0,0
1750218300,1450,1469.5,1433.5,1443.2,1456.800941333943,1438.0204110587451,0,0,0
1750304700,1439.9,1468.5,1415.2,1425.4,1450.5207530671544,1436.8731009624955,0,0,0
1750391100,1430,1497,1428,1483.2,1457.0566024537236,1441.0846372386322,0,0,0
1750650300,1477.8,1495,1461.3,1473.3,1460.3052819629788,1444.0133065805749,0,0,0
1750736700,1496,1509.8,1467.3,1470.5,1462.344225570383,1446.4211878005226,0,0,0
1750823100,1481,1495.7,1447.2,1456.6,1461.1953804563063,1447.3465343641114,0,0,0
1750909500,1461.4,1467.3,1420.2,1441.4,1457.236304365045,1446.8059403310103,0,0,0
