time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL
1738122300,180,180,171,171.85,,,0,0,0
1738208700,168,175.8,163.25,163.25,,,0,0,0
1738295100,155.1,167.9,155.1,162.95,,,0,0,0
1738381500,163.85,171.09,162.95,170.75,,,0,0,0
1738554300,169.35,179.28,167,171.4,,,0,0,0
1738640700,172,174,162.83,163.74,,,0,0,0
1738727100,161.55,170.3,161.55,168.52,,,0,0,0
1738813500,170,174,168.52,172.11,,,0,0,0
1738899900,172.88,178.99,168,172.65,168.58,,0,0,0
1739159100,175.2,179.99,173.5,179.28,170.72,,0,0,0
1739245500,179.95,179.95,166.59,170.62,170.7,,0,0,0
1739331900,170,176,165.85,174.66,171.492,,0,0,0
1739418300,174.5,174.66,169,169.86,171.16559999999998,,0,0,0
1739504700,170.7,171.75,160.35,164.67,169.86648,,0,0,0
1739763900,164.67,170.5,162.72,168.64,169.621184,,0,0,0
1739850300,169.8,169.8,165.25,166.17,168.9309472,,0,0,0
1739936700,166,168.45,163.17,164.61,168.06675776,,0,0,0
1740023100,164.61,168.5,162.7,165.24,167.501406208,,0,0,0
1740109500,166,166.9,161.43,162.71,166.5431249664,,0,0,0
1740368700,162.4,162.4,158.56,160.44,165.32249997312,,0,0,0
1740455100,160.65,165.6,158.35,161.33,164.523999978496,167.87857142857143,0,0,0
1740627900,163.5,165.49,160.88,161.94,164.0071999827968,167.3387012987013,0,0,0
1740714300,160.99,165.95,159.08,163.81,163.96775998623744,167.01791027154664,0,0,0
1740973500,164.7,165,159.05,161.5,163.47420798898995,166.5162820650424,0,0,0
1741059900,160.59,163.45,159.06,162.93,163.36536639119197,166.1902564227658,0,0,0
1741146300,163.1,176,162.26,173.77,165.44629311295358,166.87932402069617,0,0,0
1741232700,175.5,178,171.12,174.2,167.19703449036285,167.5448400188147,0,0,0
1741319100,174.8,175.67,171.9,173.2,168.3976275922903,168.05894547164974,0,0,0
1741578300,174.7,175.57,168.5,169.38,168.59410207383223,168.1790413378634,0,0,0
1741664700,168.2,170.1,167.01,168.41,168.55728165906578,168.2000375798758,0,0,0
1741751100,169.69,170.59,168.3,169.27,168.69982532725263,168.2973068907962,0,0,0
1741837500,170,171.57,165.82,166.73,168.3058602618021,168.15482444617837,0,0,0
1742183100,167.7,168.71,164.41,167.43,168.1306882094417,168.0889313147076,0,0,0
1742269500,168.2,179,167.4,177.75,170.05455056755335,168.9672102860978,0,0,0
1742355900,179.85,189.74,178.63,184.19,172.88164045404267,170.3511002600889,0,0,0
1742442300,186.4,187,181.85,183.24,174.95331236323415,171.52281841826266,0,0,0
1742528700,184,204.51,181.9,198.89,179.74064989058732,174.01074401660242,0,0,0
1742787900,193.98,197.99,190.93,195.48,182.88851991246986,175.96249456054764,0,0,0
1742874300,196.7,201.77,195.5,196.11,185.5328159299759,177.7940859641342,0,0,0
1742960700,197,197.94,190.05,191.02,186.63025274398072,178.99644178557656,0,0,0
1743047100,191,197.9,190.4,194.61,188.22620219518458,180.41585616870597,0,0,0
1743133500,197,205.8,195.61,197.51,190.08296175614765,181.96986924427816,0,0,0
1743479100,197.01,213.3,196.15,210.38,194.14236940491813,184.55260840388922,0,0,0
1743565500,209.82,210,202.21,206.43,196.5998955239345,186.54146218535385,0,0,0
1743651900,204.9,209.4,203.2,206.99,198.6779164191476,188.4004201685035,0,0,0
1743738300,206.01,206.99,198.7,200.42,199.02633313531808,189.4931092440941,0,0,0
1743997500,186.5,197.21,185.22,195.75,198.37106650825447,190.061917494631,0,0,0
1744083900,200.85,202,192.31,192.73,197.24285320660357,190.30447044966454,0,0,0
1744170300,193,194.7,190.53,192.03,196.20028256528286,190.4613367724223,0,0,0
1744343100,195.1,201.4,193.4,200.12,196.9842260522263,191.33939706583845,0,0,0
1744688700,205,205,200.56,201.5,197.88738084178104,192.2630882416713,0,0,0
1744775100,202,204.7,199.5,200.22,198.35390467342484,192.98644385606482,0,0,0
1744861500,200.58,204.32,198.25,200.7,198.82312373873987,193.6876762327862,0,0,0
1745207100,203.5,207.6,201.75,204.1,199.8784989909919,194.63425112071474,0,0,0
1745293500,205.9,208.5,203.1,205.04,200.91079919279352,195.58022829155885,0,0,0
1745379900,207,207.74,197.6,199.88,200.7046393542348,195.97111662868986,0,0,0
1745466300,200.3,202.38,199.11,200.38,200.63971148338786,196.37192420789987,0,0,0
1745552700,200.81,201.23,191.8,195.18,199.5477691867103,196.26356746172715,0,0,0
1745811900,195,199.8,193.3,197.85,199.20821534936823,196.40778860157013,0,0,0
1745898300,198.78,199.81,195.16,198.5,199.06657227949458,196.59798963779102,0,0,0
1745984700,197.99,197.99,193.01,194.43,198.13925782359567,196.4008996707191,0,0,0
1746157500,194.53,195.76,191.58,193.23,197.15740625887653,196.1126360642901,0,0,0
1746416700,194.9,199.87,193.78,197.71,197.26792500710124,196.25785096753646,0,0,0
1746503100,198.5,200.75,191,192.25,196.264340005681,195.8935008795786,0,0,0
1746589500,189,194.51,189,191.54,195.3194720045448,195.4977280723442,0,0,0
1746675900,192.5,193.64,186,186.48,193.55157760363582,194.67793461122199,0,0,0
1746762300,181.6,184.6,179.06,182.95,191.43126208290866,193.61175873747453,0,0,0
1747021500,194.69,198.9,192.02,198.3,192.80500966632692,194.0379624886132,0,0,0
1747107900,198.3,200.4,197,198.35,193.91400773306154,194.42996589873928,0,0,0
1747194300,198.6,203.2,197.9,201.94,195.51920618644922,195.11269627158117,0,0,0
1747280700,203.5,204.89,199.03,201.07,196.62936494915937,195.65426933780105,0,0,0
1747367100,203.35,203.99,200.7,202.77,197.8574919593275,196.30115394345552,0,0,0
1747626300,203.1,207.3,201.62,202.83,198.851993567462,196.89468540314138,0,0,0
1747712700,203.27,203.9,200,200.36,199.1535948539696,197.2097140028558,0,0,0
1747799100,199.5,206.64,199.03,204.61,200.24487588317567,197.88246727532345,0,0,0
1747885500,205.4,216.6,203.11,215.08,203.21190070654055,199.44587934120312,0,0,0
1747971900,217,222.67,213.22,215.04,205.57752056523245,200.863526673821,0,0,0
1748231100,215.2,218.9,213.65,214.97,207.45601645218596,202.14593333983728,0,0,0
1748317500,215,216.7,212.41,213.35,208.63481316174878,203.16448485439753,0,0,0
1748403900,213.75,215.6,206,207,208.30785052939902,203.5131680494523,0,0,0
1748490300,208.2,209.7,206.33,206.64,207.97428042351922,203.79742549950208,0,0,0
1748576700,207,218.34,206.78,216.47,209.67342433881538,204.94947772682008,0,0,0
1748835900,216.7,219,211.7,212.34,210.20673947105232,205.62134338801826,0,0,0
1748922300,213.79,215.5,212.51,214.24,211.01339157684185,206.40485762547115,0,0,0
1749008700,215,216.95,213,213.46,211.50271326147347,207.04623420497379,0,0,0
1749095100,214.6,216.8,212.5,212.99,211.8001706091788,207.58657654997617,0,0,0
1749181500,214.05,220.9,212.5,218.25,213.09013648734305,208.55597868179652,0,0,0
1749440700,220,221.5,217.7,218.41,214.15410918987445,209.4517988016332,0,0,0
1749527100,219.5,224,218.19,219.33,215.18928735189957,210.34981709239383,0,0,0
1749613500,219.53,224.67,215.77,216.85,215.52142988151965,210.9407428112671,0,0,0
1749699900,217.57,217.69,212.5,213.04,215.0251439052157,211.1315843738792,0,0,0
1749786300,208.58,214.91,208.56,213.7,214.76011512417256,211.36507670352654,0,0,0
1750045500,213.78,216.06,212.5,214.47,214.70209209933805,211.6473424577514,0,0,0
1750131900,215,217.95,213.45,213.89,214.53967367947044,211.85122041613764,0,0,0
1750218300,214,216.75,212.05,212.48,214.12773894357636,211.90838219648876,0,0,0
1750304700,213,214.48,209.5,210.04,213.3101911548611,211.73852926953523,0,0,0
1750391100,210,213.6,209.5,212.37,213.12215292388888,211.79593569957748,0,0,0
1750650300,210.78,212.88,210.66,212.03,212.9037223391111,211.81721427234316,0,0,0
1750736700,214.1,218,214.1,217.17,213.75697787128888,212.3038311566756,0,0,0
1750823100,218.55,222.5,217.81,220.21,215.0475822970311,213.02257377879602,0,0,0
1750909500,220.9,226.4,218.69,223.71,216.7800658376249,213.99415798072366,0,0,0
