id,stage,parent,entry_fill,min_candle_pos,green_only,rel_vol,min_rr,early_pct,be_arm_r,trail_pct,sizing,rotation,passes,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
BASE_raw_v21,baseline,,close,,False,,,,,,fixed2L,none,False,70.01207189546746,11.078409552808722,16.43337810667238,7.253834954144733,19.06495418541455,17.197270547575712,0.6037735849056604,0.5302013422818792,1.7171537276716995,1.1699581545719269,265,149,34.490566037735846,32.87248322147651,162,77,99,62
BASE_krish_manual,baseline,,close,0.6,True,gt_prev,1.0,70.0,,,fixed2L,none,True,75.15279341014262,9.404638946730692,17.432029135683045,6.1739289676014275,8.45432004142366,12.943463895079132,0.6728971962616822,0.5419847328244275,2.1470183639966134,1.1625190914995633,214,131,28.911214953271028,31.38167938931298,24,13,67,51
A000,A,,close,,False,,,,,,fixed2L,none,False,70.01207189546746,11.078409552808722,16.43337810667238,7.253834954144733,19.06495418541455,17.197270547575712,0.6037735849056604,0.5302013422818792,1.7171537276716995,1.1699581545719269,265,149,34.490566037735846,32.87248322147651,162,77,99,62
A001,A,,next_open,,False,,,,,,fixed2L,none,False,60.091435099647626,-3.928541859042245,14.443571664989374,-2.6358892414125257,20.68832129370233,26.84950827503272,0.6033057851239669,0.5072463768115942,1.692794648503613,0.9385097944930717,242,138,36.66528925619835,33.18115942028985,154,69,82,60
A002,A,,close,,False,,0.75,,,,fixed2L,none,False,56.92217082577595,9.249155074168547,13.789398069582415,6.073333101339484,17.918055361862404,16.879977679382034,0.5540540540540541,0.48031496062992124,1.6101871799704093,1.1540988295997887,222,127,39.37837837837838,36.826771653543304,122,57,96,60
A003,A,,next_open,,False,,0.75,,,,fixed2L,none,False,49.0571603165542,-1.4372381758558928,12.124229317655866,-0.9602507098104285,18.76482153839985,23.461634994855938,0.5797101449275363,0.46923076923076923,1.5855031627817868,0.9765356859146752,207,130,42.08212560386473,35.84615384615385,119,59,83,61
A004,A,,close,,False,,1.0,,,,fixed2L,none,False,59.823328386606,2.3149275732270436,14.388590826283497,1.5370378100524107,15.98271445654216,19.78664344503283,0.5522388059701493,0.43564356435643564,1.731124818693078,1.0445359779507621,201,101,42.59701492537314,45.57425742574257,110,41,86,50
A005,A,,next_open,,False,,1.0,,,,fixed2L,none,False,46.952598854882055,0.5891433122265255,11.668057751651716,0.3922878816151387,17.891646093841494,22.524822382534417,0.553763440860215,0.4766355140186916,1.61995726214494,1.0094328256511302,186,107,46.295698924731184,41.570093457943926,102,46,78,52
A006,A,,close,,False,,1.5,,,,fixed2L,none,True,33.11046713371568,21.62414055347661,8.545312777044355,13.93756334638152,6.333368229368612,7.306772889116293,0.5813953488372093,0.5081967213114754,1.9674950642699007,1.8847628290750325,86,61,43.94186046511628,47.22950819672131,50,28,35,27
A007,A,,next_open,,False,,1.5,,,,fixed2L,none,True,27.999322278838633,20.158955535582734,7.333663022400216,13.020867054476337,6.509939774800065,7.572776982006666,0.5747126436781609,0.5245901639344263,1.767939474303766,1.8180175949722635,87,61,42.11494252873563,46.131147540983605,50,27,36,27
A008,A,,close,,False,gt_prev,,,,,fixed2L,none,False,64.24789780741864,7.322624632009456,15.287658108018487,4.8229045676171145,19.754733075863665,19.781083116880648,0.6092436974789915,0.5394736842105263,1.7575489800518815,1.1124894203148643,238,152,37.983193277310924,31.651315789473685,147,82,84,60
A009,A,,next_open,,False,gt_prev,,,,,fixed2L,none,False,47.522916577378616,-0.8158769212266548,11.792134138773136,-0.544536359770531,20.706602842135897,25.748881439446997,0.5932203389830508,0.5357142857142857,1.5244986501133737,0.9860334074842977,236,140,36.57627118644068,32.707142857142856,146,75,84,55
A010,A,,close,,False,gt_prev,0.75,,,,fixed2L,none,False,61.44695320747138,-2.8634818145004126,14.720547749396617,-1.9177830576140198,16.224976939093967,22.885549435256383,0.5630630630630631,0.45045045045045046,1.6692897461074603,0.9482589855597494,222,111,37.572072072072075,39.450450450450454,124,47,93,55
A011,A,,next_open,,False,gt_prev,0.75,,,,fixed2L,none,False,62.93050815603005,9.868739059622689,15.021791176631982,6.473912055456421,17.420561389690047,20.83123426482194,0.5887445887445888,0.5289256198347108,1.6670210415039801,1.1690222185805732,231,121,34.753246753246756,37.67768595041322,135,61,92,50
A012,A,,close,,False,gt_prev,1.0,,,,fixed2L,none,False,67.13462765925317,-2.6093789271361523,15.864964338037657,-1.746845398633523,11.808983317573727,24.354827229599625,0.572972972972973,0.44660194174757284,1.9121792833553009,0.951620195441783,185,103,44.12432432432433,41.00970873786408,105,42,74,52
A013,A,,next_open,,False,gt_prev,1.0,,,,fixed2L,none,False,54.34530044843522,3.028193914843391,13.250519442729903,2.008279085233844,12.205187420234743,23.267381721908844,0.5668449197860963,0.4732142857142857,1.7228423290837178,1.0522869129584227,187,112,42.50802139037433,37.919642857142854,105,50,76,52
A014,A,,close,,False,gt_prev,1.5,,,,fixed2L,none,True,29.96424812631591,22.73960503071253,7.803483233285924,14.63298881378563,6.646968470630296,7.584306234424094,0.5789473684210527,0.5686274509803921,1.9780222344141127,2.1234352642857304,76,51,46.51315789473684,47.490196078431374,44,27,31,20
A015,A,,next_open,,False,gt_prev,1.5,,,,fixed2L,none,True,25.90495070258907,21.000031289784427,6.827193102553064,13.547540789211387,6.712990829383571,7.68688376568719,0.5789473684210527,0.5769230769230769,1.8152379472497417,2.0188291259055067,76,52,45.06578947368421,46.03846153846154,44,27,31,20
