time,open,high,low,close,EMA 9,EMA 21,EntryMark,TPMark,SLMark,B,A0,A1,A2,A3,ST0,ST1,ST2,ST3,ENTRY,TP,SL,Volume,VolAvg
1342618200,2.599997,2.599997,2.599997,2.599997,,,0,0,0,,,,,,0,0,0,0,,,,5,
1362666600,3.833329,3.833329,3.833329,3.833329,,,0,0,0,,,,,,0,0,0,0,,,,30,
1366291800,3.366663,3.366663,3.366663,3.366663,,,0,0,0,,,,,,0,0,0,0,,,,30,
1396272600,6.66666,6.66666,6.66666,6.66666,,,0,0,0,,,,,,0,0,0,0,,,,30,
1397136600,14.999985,14.999985,13.499986,13.499986,,,0,0,0,,,,,,0,0,0,0,,,,165,
1398173400,16.499983,16.499983,16.499983,16.499983,,,0,0,0,,,,,,0,0,0,0,,,,276,
1398259800,18.666648,18.999981,18.666648,18.666648,,,0,0,0,,,,,,0,0,0,0,,,,405,
1398346200,18.999981,18.999981,18.999981,18.999981,,,0,0,0,,,,,,0,0,0,0,,,,72,
1398691800,16.66665,16.66665,14.166652,14.166652,10.922210999999999,,0,0,0,,,,,,0,0,0,0,,,,150,
1401975000,16.66665,16.66665,16.66665,16.66665,12.0710988,,0,0,0,,,,,,0,0,0,0,,,,30,
1403789400,16.66665,16.699983,16.66665,16.699983,12.996875639999999,,0,0,0,,,,,,0,0,0,0,,,,270,
1403875800,16.799983,16.799983,16.799983,16.799983,13.757497112,,0,0,0,,,,,,0,0,0,0,,,,330,
1404912600,16.999983,16.999983,16.999983,16.999983,14.405994289599999,,0,0,0,,,,,,0,0,0,0,,,,123,
1405517400,18.999981,18.999981,18.999981,18.999981,15.324791631679998,,0,0,0,,,,,,0,0,0,0,,,,120,
1406122200,16.66665,16.66665,16.66665,16.66665,15.593163305344,,0,0,0,,,,,,0,0,0,0,,,,60,
1406727000,16.66665,16.66665,16.66665,16.66665,15.8078606442752,,0,0,0,,,,,,0,0,0,0,,,,67,
1406813400,17.833315,17.833315,17.833315,17.833315,16.21295151542016,,0,0,0,,,,,,0,0,0,0,,,,30,
1406899800,16.66665,16.66665,16.66665,16.66665,16.303691212336126,,0,0,0,,,,,,0,0,0,0,,,,30,
1407159000,15.833317,15.833317,15.833317,15.833317,16.2096163698689,,0,0,0,,,,,,0,0,0,0,,,,30,
1407763800,13.33332,13.33332,13.33332,13.33332,15.63435709589512,,0,0,0,,,,,,0,0,0,0,,,,30,114.15
1410355800,12.333321,12.333321,12.333321,12.333321,14.974149876716096,13.990462,0,0,0,,,,,,0,0,0,0,,,,300,128.9
1424961000,19.99998,19.99998,19.99998,19.99998,15.979315901372876,14.536781818181819,0,0,0,,,,,,0,0,0,0,,,,60,130.4
1431437400,3.366663,3.366663,3.366663,3.366663,13.456785321098302,13.52131647107438,0,0,0,,,,,,0,0,0,0,,,,31,130.45
1431523800,40,40,40,40,18.765428256878643,15.928469519158527,0,0,0,,,,,,0,0,0,0,,,,10,129.45
1435066200,30,30,30,30,21.012342605502916,17.20769956287139,0,0,0,,,,,,0,0,0,0,,,,10,121.7
1435239000,30,30,30,30,22.80987408440233,18.37063596624672,0,0,0,,,,,,0,0,0,0,,,,10,108.4
1438176600,20,20,19,19,22.047899267521863,18.427850878406108,0,0,0,,,,,,0,0,0,0,,,,42,90.25
1438263000,30,30,30,30,23.63831941401749,19.479864434914642,0,0,0,3.366663,,,,,1,1,1,1,,,,10,87.15
1440509400,30,30,30,30,24.910655531213994,20.43624039537695,0,0,0,3.366663,,,,,1,1,1,1,,,,10,80.15
1441719000,30,30,30,30,25.928524424971194,21.305673086706317,0,0,0,3.366663,,,,,1,1,1,1,,,,10,79.15
1442928600,35,35,35,35,27.742819539976956,22.550611897005744,0,0,0,3.366663,,,,,1,1,1,1,,,,275,79.4
1443533400,35.6,35.6,35.2,35.2,29.234255631981565,23.700556270005222,0,0,0,3.366663,,,,,1,1,1,1,,,,101,67.95
1444743000,30,30,30,30,29.387404505585252,24.27323297273202,0,0,0,3.366663,,,,,1,1,1,1,,,,10,62.3
1450362600,30,30,30,30,29.509923604468202,24.79384815702911,0,0,0,3.366663,,,,,1,1,1,1,,,,132,62.9
